Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Register,,,2019-05-27 16:13:41,2019-05-27 16:14:25,43.660s,PASSED
,,,,,,
Test Cases/Register/PostRegisterAdministrator,,,2019-05-27 16:13:42,2019-05-27 16:13:58,16.685s,PASSED
"a = sendRequest(findTestObject(""Register/PostRegisterAdministrator""))",,,2019-05-27 16:13:43,2019-05-27 16:13:58,15.654s,PASSED
"verifyResponseStatusCode(a, 200)",,,2019-05-27 16:13:58,2019-05-27 16:13:58,0.037s,PASSED
,,,,,,
Test Cases/Register/PostRegisterManager,,,2019-05-27 16:13:58,2019-05-27 16:14:10,12.113s,PASSED
"a = sendRequest(findTestObject(""Register/PostRegisterManager""))",,,2019-05-27 16:13:59,2019-05-27 16:14:10,11.604s,PASSED
"verifyResponseStatusCode(a, 200)",,,2019-05-27 16:14:10,2019-05-27 16:14:10,0.010s,PASSED
,,,,,,
Test Cases/Register/PostRegisterEmployee,,,2019-05-27 16:14:10,2019-05-27 16:14:24,13.854s,PASSED
"a = sendRequest(findTestObject(""Register/PostRegisterEmployee""))",,,2019-05-27 16:14:11,2019-05-27 16:14:24,13.460s,PASSED
"verifyResponseStatusCode(a, 200)",,,2019-05-27 16:14:24,2019-05-27 16:14:24,0.008s,PASSED
